C9	30.48	15.49	0.00	0.1uF	C0603
LED1	12.06	78.74	135.00		CHIP-LED0603
LED10	15.87	74.93	135.00		CHIP-LED0603
LED11	19.68	74.93	135.00		CHIP-LED0603
LED12	23.49	74.93	135.00		CHIP-LED0603
LED13	27.30	74.93	135.00		CHIP-LED0603
LED14	31.11	74.93	135.00		CHIP-LED0603
LED15	34.92	74.93	135.00		CHIP-LED0603
LED16	38.73	74.93	135.00		CHIP-LED0603
LED17	12.06	71.12	135.00		CHIP-LED0603
LED18	15.87	71.12	135.00		CHIP-LED0603
LED19	19.68	71.12	135.00		CHIP-LED0603
LED2	15.87	78.74	135.00		CHIP-LED0603
LED20	23.49	71.12	135.00		CHIP-LED0603
LED21	27.30	71.12	135.00		CHIP-LED0603
LED22	31.11	71.12	135.00		CHIP-LED0603
LED23	34.92	71.12	135.00		CHIP-LED0603
LED24	38.73	71.12	135.00		CHIP-LED0603
LED25	12.06	67.31	135.00		CHIP-LED0603
LED26	15.87	67.31	135.00		CHIP-LED0603
LED27	19.68	67.31	135.00		CHIP-LED0603
LED28	23.49	67.31	135.00		CHIP-LED0603
LED29	27.30	67.31	135.00		CHIP-LED0603
LED3	19.68	78.74	135.00		CHIP-LED0603
LED30	31.11	67.31	135.00		CHIP-LED0603
LED31	34.92	67.31	135.00		CHIP-LED0603
LED32	38.73	67.31	135.00		CHIP-LED0603
LED33	12.06	63.50	135.00		CHIP-LED0603
LED34	15.87	63.50	135.00		CHIP-LED0603
LED35	19.68	63.50	135.00		CHIP-LED0603
LED36	23.49	63.50	135.00		CHIP-LED0603
LED37	27.30	63.50	135.00		CHIP-LED0603
LED38	31.11	63.50	135.00		CHIP-LED0603
LED39	34.92	63.50	135.00		CHIP-LED0603
LED4	23.49	78.74	135.00		CHIP-LED0603
LED40	38.73	63.50	135.00		CHIP-LED0603
LED41	12.06	59.69	135.00		CHIP-LED0603
LED42	15.87	59.69	135.00		CHIP-LED0603
LED43	19.68	59.69	135.00		CHIP-LED0603
LED44	23.49	59.69	135.00		CHIP-LED0603
LED45	27.30	59.69	135.00		CHIP-LED0603
LED46	31.11	59.69	135.00		CHIP-LED0603
LED47	34.92	59.69	135.00		CHIP-LED0603
LED48	38.73	59.69	135.00		CHIP-LED0603
LED49	12.06	55.88	135.00		CHIP-LED0603
LED5	27.30	78.74	135.00		CHIP-LED0603
LED50	15.87	55.88	135.00		CHIP-LED0603
LED51	19.68	55.88	135.00		CHIP-LED0603
LED52	23.49	55.88	135.00		CHIP-LED0603
LED53	27.30	55.88	135.00		CHIP-LED0603
LED54	31.11	55.88	135.00		CHIP-LED0603
LED55	34.92	55.88	135.00		CHIP-LED0603
LED56	38.73	55.88	135.00		CHIP-LED0603
LED57	12.06	52.07	135.00		CHIP-LED0603
LED58	15.87	52.07	135.00		CHIP-LED0603
LED59	19.68	52.07	135.00		CHIP-LED0603
LED6	31.11	78.74	135.00		CHIP-LED0603
LED60	23.49	52.07	135.00		CHIP-LED0603
LED61	27.30	52.07	135.00		CHIP-LED0603
LED62	31.11	52.07	135.00		CHIP-LED0603
LED63	34.92	52.07	135.00		CHIP-LED0603
LED64	38.73	52.07	135.00		CHIP-LED0603
LED7	34.92	78.74	135.00		CHIP-LED0603
LED8	38.73	78.74	135.00		CHIP-LED0603
LED9	12.06	74.93	135.00		CHIP-LED0603
R1	41.15	4.32	0.00	10k	R0603
R10	38.73	85.09	225.00	500r	R0603
R2	30.48	13.21	180.00	10k	R0603
R3	12.06	85.09	225.00	500r	R0603
R4	15.87	85.09	225.00	500r	R0603
R5	19.68	85.09	225.00	500r	R0603
R6	23.49	85.09	225.00	500r	R0603
R7	27.30	85.09	225.00	500r	R0603
R8	31.11	85.09	225.00	500r	R0603
R9	34.92	85.09	225.00	500r	R0603
RX	39.37	22.86	0.00	PTR1B1,27	B1,27
S1	41.91	40.64	0.00		TACTILE_SWITCH_SMD_5.2MM
S2	34.29	33.02	0.00		TACTILE_SWITCH_SMD_5.2MM
S3	11.43	41.91	0.00		TACTILE_SWITCH_SMD_5.2MM
S4	5.71	36.83	0.00		TACTILE_SWITCH_SMD_5.2MM
S5	17.14	36.83	180.00		TACTILE_SWITCH_SMD_5.2MM
S6	11.43	31.75	0.00		TACTILE_SWITCH_SMD_5.2MM
SW1	25.40	2.21	90.00	SSSS811101SW4_SSSS811101_ALPS	SW4_SSSS811101_ALPS
TX	41.91	22.86	0.00	PTR1B1,27	B1,27
U$1	14.92	14.92	45.00	BH-74F-5	BH-74F-5
U$2	40.64	13.97	90.00	STM32L431CC	QFP50P900X900X160-48
