"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"PROD_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";
"64";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64";"LED";"";"";"";"";"";"";"";
"6";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1, S2, S3, S4, S5, S6";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"SWCH-08247";"COM-08720";"";"";
"1";"0.1uF";"C-USC0603";"C0603";"C9";"CAPACITOR, American symbol";"";"";"";"";"";"C";"";
"2";"10k";"R-US_R0603";"R0603";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"4-PIN-1.25MM";"4-PIN-1.25MM";"4-PIN-1.25MM";"PROG";"";"";"";"";"";"";"";"";
"8";"500r";"R-US_R0603";"R0603";"R3, R4, R5, R6, R7, R8, R9, R10";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"1";"BH-74F-5";"BH-74F-5";"BH-74F-5";"U$1";"";"";"";"";"";"";"";"";
"2";"PTR1B1,27";"PTR1B1,27";"B1,27";"RX, TX";"TEST PIN";"";"";"";"";"";"";"";
"1";"SSSS811101SW4_SSSS811101_ALPS";"SSSS811101SW4_SSSS811101_ALPS";"SW4_SSSS811101_ALPS";"SW1";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"SSSS811101";"Alps Electric";"";"";"";"";
"1";"STM32L431CC";"STM32L431CC";"QFP50P900X900X160-48";"U$2";"";"";"";"";"";"";"";"";
